source,name,city,ts,wait_minutes,source_url
hospitalstats,Presence Saint Joseph Hospital - Chicago,Chicago,2025-09-28T06:29:40.694043+00:00,147,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Loretto Hospital,Chicago,2025-09-28T06:29:40.694043+00:00,174,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Thorek Memorial Hospital,Chicago,2025-09-28T06:29:40.694043+00:00,174,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Insight Hospital And Medical Center Chicago,Chicago,2025-09-28T06:29:40.694043+00:00,182,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Holy Cross Hospital,Chicago,2025-09-28T06:29:40.694043+00:00,182,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Jackson Park Hospital,Chicago,2025-09-28T06:29:40.694043+00:00,184,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Humboldt Park Health,Chicago,2025-09-28T06:29:40.694043+00:00,188,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Provident Hospital Of Chicago,Chicago,2025-09-28T06:29:40.694043+00:00,195,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Saint Anthony Hospital,Chicago,2025-09-28T06:29:40.694043+00:00,198,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Methodist Hospital Of Chicago,Chicago,2025-09-28T06:29:40.694043+00:00,201,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Mt Sinai Hospital Medical Center,Chicago,2025-09-28T06:29:40.694043+00:00,202,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Presence Saints Mary And Elizabeth Medical Center,Chicago,2025-09-28T06:29:40.694043+00:00,211,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Community First Medical Center,Chicago,2025-09-28T06:29:40.694043+00:00,228,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Louis A Weiss Memorial Hospital,Chicago,2025-09-28T06:29:40.694043+00:00,231,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Advocate Illinois Masonic Medical Center,Chicago,2025-09-28T06:29:40.694043+00:00,232,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Amita Health Resurrection Medical Center,Chicago,2025-09-28T06:29:40.694043+00:00,235,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Roseland Community Hospital,Chicago,2025-09-28T06:29:40.694043+00:00,240,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Advocate Trinity Hospital,Chicago,2025-09-28T06:29:40.694043+00:00,258,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,South Shore Hospital,Chicago,2025-09-28T06:29:40.694043+00:00,264,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Swedish Hospital,Chicago,2025-09-28T06:29:40.694043+00:00,272,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,John H Stroger Jr Hospital,Chicago,2025-09-28T06:29:40.694043+00:00,294,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,The University Of Chicago Medical Center,Chicago,2025-09-28T06:29:40.694043+00:00,298,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,St Bernard Hospital,Chicago,2025-09-28T06:29:40.694043+00:00,317,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Rush University Medical Center,Chicago,2025-09-28T06:29:40.694043+00:00,324,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,University Of Illinois Hospital And Clinics,Chicago,2025-09-28T06:29:40.694043+00:00,336,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Northwestern Memorial Hospital,Chicago,2025-09-28T06:29:40.694043+00:00,340,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Jesse Brown Va Medical Center - Va Chicago Healthcare System,Chicago,2025-09-28T06:29:40.694043+00:00,,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Ann & Robert H Lurie Childrens Hospital Of Chicago,Chicago,2025-09-28T06:29:40.694043+00:00,,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Hartgrove Hospital,Chicago,2025-09-28T06:29:40.694043+00:00,,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
hospitalstats,Montrose Behavioral Health Hospital,Chicago,2025-09-28T06:29:40.694043+00:00,,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm
